City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
36,cape town,-33.9258,18.4232,75.0,40,0,6.91,ZA,1613988730
37,saskylakh,71.9167,114.0833,-27.44,83,26,4.23,RU,1613988729
38,narrabri,-30.3167,149.7833,87.8,27,34,9.22,AU,1613988730
39,paso de los toros,-32.8167,-56.5167,64.4,88,0,10.36,UY,1613988730
40,ancud,-41.8697,-73.8203,51.01,87,0,2.3,CL,1613988730
41,comodoro rivadavia,-45.8667,-67.5,51.8,58,0,14.97,AR,1613988731
42,rikitea,-23.1203,-134.9692,78.6,73,34,9.33,PF,1613988731
43,naze,28.3667,129.4833,69.8,68,0,9.22,JP,1613988731
44,bubaque,11.2833,-15.8333,76.24,62,7,12.55,GW,1613988731
45,icatu,-2.7758,-44.0658,77.0,100,40,4.61,BR,1613988731
46,ilulissat,69.2167,-51.1,-0.4,78,21,3.44,GL,1613988731
47,coihaique,-45.5752,-72.0662,42.8,81,40,6.78,CL,1613988731
48,hilo,19.7297,-155.09,69.8,83,40,5.75,US,1613988732
49,mehamn,71.0357,27.8492,12.2,78,90,11.5,NO,1613988732
50,komsomolets,53.7453,62.0708,-9.53,89,0,5.08,KZ,1613988732
51,lasa,46.6166,10.7002,51.01,80,0,3.6,IT,1613988732
52,talcahuano,-36.7167,-73.1167,50.0,93,0,4.61,CL,1613988732
53,mamallapuram,12.6264,80.1722,86.0,58,40,10.36,IN,1613988732
54,east london,-33.0153,27.9116,73.4,64,40,17.27,ZA,1613988732
55,albany,42.6001,-73.9662,24.01,53,100,2.84,US,1613988696
56,wembley,-31.9333,115.8,98.6,19,0,16.11,AU,1613988732
57,avera,33.194,-82.5271,46.4,93,90,5.75,US,1613988733
58,talnakh,69.4865,88.3972,-32.6,79,5,3.47,RU,1613988733
59,sao filipe,14.8961,-24.4956,72.1,66,1,7.94,CV,1613988733
60,mar del plata,-38.0023,-57.5575,69.01,72,0,9.22,AR,1613988551
61,tiksi,71.6872,128.8694,-27.04,85,28,7.61,RU,1613988733
62,khatanga,71.9667,102.5,-28.79,85,100,11.59,RU,1613988733
63,salalah,17.0151,54.0924,80.6,65,0,9.22,OM,1613988733
64,bambanglipuro,-7.95,110.2833,82.45,75,80,8.63,ID,1613988733
65,saint-joseph,-21.3667,55.6167,89.6,58,0,18.41,RE,1613988734
66,te anau,-45.4167,167.7167,58.06,68,100,3.83,NZ,1613988734
67,ovsyanka,55.9575,92.5519,10.4,85,100,4.47,RU,1613988734
68,chokurdakh,70.6333,147.9167,-34.38,83,24,7.34,RU,1613988734
69,guerrero negro,27.9769,-114.0611,55.63,38,34,1.5,MX,1613988734
70,bluff,-46.6,168.3333,60.01,88,100,3.0,NZ,1613988734
71,luau,-10.7073,22.2247,76.32,74,88,5.35,AO,1613988734
72,bredasdorp,-34.5322,20.0403,75.2,41,0,9.22,ZA,1613988735
73,kruisfontein,-34.0033,24.7314,78.01,46,0,11.99,ZA,1613988735
74,saint anthony,45.0205,-93.218,26.6,93,90,9.22,US,1613988735
75,bambous virieux,-20.3428,57.7575,86.0,66,20,16.11,MU,1613988735
76,kommunar,59.6206,30.39,10.99,79,75,17.9,RU,1613988735
77,san patricio,28.017,-97.5169,54.0,100,1,4.61,US,1613988735
78,brindisi,40.5833,17.6667,57.99,88,20,5.75,IT,1613988514
79,indian head,38.6001,-77.1622,32.0,64,1,8.05,US,1613988736
80,biltine,14.5333,20.9167,84.4,13,72,3.09,TD,1613988736
81,udachnyy,66.4167,112.4,-31.41,82,84,2.15,RU,1613988736
82,alice town,25.7167,-79.3,72.32,80,94,21.14,BS,1613988736
83,bintulu,3.1667,113.0333,82.4,74,20,8.05,MY,1613988736
84,fare,-16.7,-151.0167,81.27,76,100,11.21,PF,1613988736
85,broome,42.2506,-75.833,27.0,54,1,9.22,US,1613988737
86,katakwi,1.8911,33.9661,86.05,32,100,12.57,UG,1613988737
87,husavik,66.0449,-17.3389,33.8,80,75,3.44,IS,1613988737
88,rumoi,43.9344,141.6428,27.77,93,100,0.51,JP,1613988737
89,hun,29.1268,15.9477,63.57,30,0,8.55,LY,1613988737
90,barra dos coqueiros,-10.9089,-37.0386,78.8,83,20,2.3,BR,1613988604
91,klyuchi,52.2667,79.1667,2.68,92,100,7.27,RU,1613988737
92,sola,-13.8833,167.55,80.6,89,20,6.69,VU,1613988737
93,cidreira,-30.1811,-50.2056,73.85,80,0,15.46,BR,1613988737
94,dinar,38.065,30.1656,46.4,36,0,3.44,TR,1613988738
95,grand forks,47.9417,-97.4337,33.8,80,90,10.36,US,1613988738
96,torbay,47.6666,-52.7314,14.0,79,20,21.85,CA,1613988738
97,hay river,60.8156,-115.7999,-7.6,77,75,10.36,CA,1613988738
98,tasiilaq,65.6145,-37.6368,32.0,93,90,18.41,GL,1613988738
